# グループ台帳 —— 無機・理論の「単元 → グループ → 参考書のページ」（2026-09-19・便0a）
#
# ★★ なぜ在るか（ref-inorg-design §1 の案C）:
#   有機は qa の知識項目（問い）を先に作り、参考書がその group ＝ 1ページ（§19-1）に従った。
#   無機・理論は qa の項目がまだ無いので、**束ね方（group）だけ先にここで決め、qa と参考書の両方が従う**。
#   ★ 参考書は codes: なしで今すぐ書ける。後で qa が同じ unit・同じ group で項目を作れば、
#     参考書のページは codes: を1行ずつ足すだけ（作り直しゼロ）。
#
# ⚠ 置き場所は qa（知識コードの持ち主）。読み方は tools/reference-md.js の parseGroups（node とブラウザで1本）。
# 機械で見ていること:
#   ・参考書: unit が inorg.* / theo.* のページは、この表の行（ページid）に在り、unit・unitLabel・group が一致する
#     （tools/gen-reference.mjs と assembler の REF28）。ORDER.txt の並びはこの表の「並び」と同じ向き
#   ・qa: inorg.* / theo.* の項目の group は、この表の同じ unit の group に在る（qa の test.html）
#   ・★ group に qa の項目が付いたのに、参考書のページが codes: を持っていない → 黄（gen-reference.mjs が一覧を出す）
#
# 書き方: unit ␉ unitLabel ␉ group ␉ ページid ␉ 並び ␉ 課程（区切りはタブ。# の行と空行は読み飛ばす）
# ⚠ 1グループ ＝ 1ページ。group の綴りは参考書の前書き group: と qa の group にそのまま使う
# ★ 課程（6列目・2026-09-19 理論の便0）: basic ＝ 化学基礎／adv ＝ 化学（ratio の portal.js の course と同じ綴り）。
#   ページ単位で1つ。化学の節が混じるページは広い側（basic）。値は数研 R5 の1社でどちらの本に本文があるかの目安
#   （ref-theory-design §1-4。他社で割れる所は「化学基礎／化学の切り替え」の設計で見直す）。空欄は未設定として通す
# ★ 理論の並び（ref-theory-design §3-2）: 構造 → 物質量 → 酸と塩基 → 酸化還元 → 電池と電気分解 → 状態 → 溶液 → 熱 → 速さ → 平衡 → 電離平衡
#   （依存の順。既存の理論21行は連続したまま、前に14行・後ろに28行を足した）
#
# ── 無機 ──
inorg.basis	無機の土台	無機の反応の型	inorg-reaction-types	01	adv
inorg.basis	無機の土台	周期表と元素の性質	periodic-table	02	adv
inorg.basis	無機の土台	酸化物とオキソ酸	oxoacid	03	adv
inorg.basis	無機の土台	気体の製法	gas-preparation	04	adv
inorg.nonmetal	非金属元素	水素と貴ガス	hydrogen-noble-gas	05	adv
inorg.nonmetal	非金属元素	酸素とオゾン	oxygen-ozone	06	adv
inorg.nonmetal	非金属元素	ハロゲン	halogen	07	adv
inorg.nonmetal	非金属元素	塩素	chlorine	08	adv
inorg.nonmetal	非金属元素	硫黄	sulfur	09	adv
inorg.nonmetal	非金属元素	硫酸	sulfuric-acid	10	adv
inorg.nonmetal	非金属元素	窒素	nitrogen	11	adv
inorg.nonmetal	非金属元素	リン	phosphorus	12	adv
inorg.nonmetal	非金属元素	炭素とケイ素	carbon-silicon	13	adv
inorg.metal	金属元素	アルカリ金属	alkali-metal	14	adv
inorg.metal	金属元素	2族元素	alkaline-earth	15	adv
inorg.metal	金属元素	両性金属	amphoteric-metal	16	adv
inorg.metal	金属元素	鉄	iron	17	adv
inorg.metal	金属元素	銅と銀	copper-silver	18	adv
inorg.metal	金属元素	クロムとマンガン	transition-oxidizers	19	adv
inorg.metal	金属元素	錯イオン	complex-ion	20	adv
inorg.metal	金属元素	合金	alloy	21	basic
inorg.qual	イオンを見分ける	沈殿の生成と色	precipitate	22	adv
inorg.qual	イオンを見分ける	炎色反応と水溶液の色	flame-color	23	adv
inorg.qual	イオンを見分ける	系統分離	cation-separation	24	adv
# ── 理論 ──
theo.structure	物質の構造	物質の分類と分離	substance-classification	25	basic
theo.structure	物質の構造	原子の構造と電子配置	atom-structure	26	basic
theo.structure	物質の構造	イオン結合	ionic-bond	27	basic
theo.structure	物質の構造	共有結合	covalent-bond	28	basic
theo.structure	物質の構造	分子の形と極性	molecular-shape	29	basic
theo.structure	物質の構造	分子間力	intermolecular-force	30	basic
